user_id,items
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,item_id main_category average_rating rating_number wr
1,item_id main_category average_rating rating_number wr
2,item_id main_category average_rating rating_number wr
3,item_id main_category average_rating rating_number wr
4,item_id main_category average_rating rating_number wr
5,item_id main_category average_rating rating_number wr
6,item_id main_category average_rating rating_number wr
7,item_id main_category average_rating rating_number wr
8,item_id main_category average_rating rating_number wr
9,item_id main_category average_rating rating_number wr
0,item_id main_category average_rating rating_number wr
1,item_id main_category average_rating rating_number wr
2,item_id main_category average_rating rating_number wr
3,item_id main_category average_rating rating_number wr
4,item_id main_category average_rating rating_number wr
5,item_id main_category average_rating rating_number wr
6,item_id main_category average_rating rating_number wr
7,item_id main_category average_rating rating_number wr
8,item_id main_category average_rating rating_number wr
9,item_id main_category average_rating rating_number wr
0,item_id main_category average_rating rating_number wr
1,item_id main_category average_rating rating_number wr
2,item_id main_category average_rating rating_number wr
3,item_id main_category average_rating rating_number wr
4,item_id main_category average_rating rating_number wr
5,item_id main_category average_rating rating_number wr
6,item_id main_category average_rating rating_number wr
7,item_id main_category average_rating rating_number wr
8,item_id main_category average_rating rating_number wr
9,item_id main_category average_rating rating_number wr
0,item_id main_category average_rating rating_number wr
1,item_id main_category average_rating rating_number wr
2,item_id main_category average_rating rating_number wr
3,item_id main_category average_rating rating_number wr
4,item_id main_category average_rating rating_number wr
5,item_id main_category average_rating rating_number wr
6,item_id main_category average_rating rating_number wr
7,item_id main_category average_rating rating_number wr
8,item_id main_category average_rating rating_number wr
9,item_id main_category average_rating rating_number wr
0,item_id main_category average_rating rating_number wr
1,item_id main_category average_rating rating_number wr
2,item_id main_category average_rating rating_number wr
3,item_id main_category average_rating rating_number wr
4,item_id main_category average_rating rating_number wr
5,item_id main_category average_rating rating_number wr
6,item_id main_category average_rating rating_number wr
7,item_id main_category average_rating rating_number wr
8,item_id main_category average_rating rating_number wr
9,item_id main_category average_rating rating_number wr
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
0,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
1,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
2,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
3,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
4,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
5,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
6,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
7,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
8,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
9,65542 6864 30280 76150 7151 30293 12104 37461 75182 27764
